Unnamed: 0,Team,Pitch,Date of Next Open,Winner?,Entry Price,PT,SL
1,Vega,TSLA,1/17/2023,No,125.7,200.0,113.0
5,Vega,T,2/27/2023,Yes,19.3,21.0,17.0
9,Vega,VRTX,3/27/2023,Yes,314.68,365.0,280.97
14,Vega,NUE,4/17/2023,Yes,146.67,191.23,0.0
17,Vega,MAR,6/5/2023,No,176.73,,
