Unnamed: 0,Team,Pitch,Date of Next Open,Winner?,Entry Price,PT,SL
2,Delta,RMT,1/17/2023,No,9.3,10.0,8.5
6,Delta,M,2/27/2023,No,20.94,24.0,15.0
10,Delta,PANW,3/27/2023,No,192.0,227.0,162.81
12,Delta,ABG,4/17/2023,No,208.5,272.74,0.0
18,Delta,GD,6/5/2023,Yes,209.99,,
